hs4,label,hs2
8428,Lifts and skip hoists,84
8429,Bulldozers and angledozers,84
8430,Pile-drivers and pile-extractors,84
8431,Machinery,84
8432,Ploughs,84
8433,Mowers,84
8434,Milking machines,84
8436,Machinery,84
8437,Machines,84
8438,Machinery,84
8439,Machinery,84
8441,Machines,84
8442,"Machinery, apparatus and equipment (excluding machines of heading no. 8456 to 8465) for preparing or making printing components",84
8443,Printing machinery,84
8444,Textile machinery,84
8445,Textile machinery,84
8446,Weaving machines (looms),84
8447,Knitting machines,84
8448,"Machinery, auxiliary",84
8450,Washing machines,84
8451,Dry-cleaning machines,84
8452,Sewing machines,84
8454,Converters,84
8455,Metal-rolling mills,84
8456,Machine-tools,84
8457,Machining centres,84
8458,Lathes,84
8459,Machine-tools,84
8460,Machine-tools,84
8461,Machine-tools,84
8462,Machine-tools,84
8463,Machine-tools,84
8464,Machine-tools,84
8465,Machine-tools,84
8466,Parts & accessories suited for use solely/principally with machines of headings 8456-8465,84
8467,Tools,84
8468,Machinery and apparatus,84
8470,Calculating machines,84
8471,Automatic data processing machines,84
8472,Office machines,84
8473,Calculating machines,84
8474,Machines,84
8475,Machines,84
8476,Machines,84
8477,Machinery,84
8478,Machinery,84
8479,Machinery and mechanical appliances,84
8480,Moulding boxes,84
8481,Valves,84
8482,Ball bearings,84
8483,Transmission shafts (including cam shafts and crank shafts) and cranks,84
8484,Gaskets and similar joints,84
8485,Machines for additive manufacturing,84
8486,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,84
8487,Ships' or boats' propellers and blades therefor,84
8501,Electric motors,85
8502,Electric generating sets,85
8503,Electric motors and generators,85
8504,Discharge lamps or tubes,85
8505,Magnets,85
8506,Cells and batteries,85
8507,Electric accumulators,85
8508,"Vacuum cleaners, with self-contained electric motor, of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20L",85
8509,Electro-mechanical domestic appliances,85
8510,Shavers,85
8511,Ignition or starting equipment,85
8512,Lighting or visual signalling equipment,85
8513,Lamps,85
8514,Furnaces and ovens,85
8515,Brazing or soldering machines and apparatus,85
8516,Heaters,85
8517,Line telephone sets with cordless handsets,85
8518,Microphones and stands therefor,85
8519,Sound recording or reproducing apparatus,85
8521,Video recording or reproducing apparatus,85
8522,Sound recording or reproducing apparatus,85
8523,Magnetic media,85
8524,"Flat panel display modules, whether or not incorporating touch-sensitive screens",85
8525,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, not incorporating reception apparatus",85
8526,Radar apparatus,85
8527,Radio broadcast receivers capable of operating without an external power source,85
8528,Monitors,85
8529,Reception and transmission apparatus,85
8530,"Signalling, safety or traffic control equipment",85
8531,Signalling apparatus,85
8532,Electrical capacitors,85
8533,Electrical resistors,85
8534,Circuits,85
8535,Electrical apparatus,85
8536,Electrical apparatus,85
8537,"Boards, panels, consoles, desks and other bases",85
8538,Electrical apparatus,85
8539,Lamps,85
8540,Tubes,85
8541,Electrical apparatus,85
8542,Electronic integrated circuits,85
8543,Electrical machines and apparatus,85
8544,Insulated electric conductors,85
8545,Carbon electrodes,85
8546,Electrical insulators,85
8547,Insulating fittings,85
8548,Electrical parts of machinery or apparatus,85
8549,Waste and scrap of lead-acid accumulators,85
8601,Rail locomotives,86
8602,Rail locomotives,86
8603,"Railway or tramway coaches, vans and trucks",86
8604,Railway or tramway maintenance or service vehicles,86
8605,Railway or tramway coaches,86
8606,Railway or tramway goods vans and wagons,86
8607,Railway or tramway locomotives or rolling stock,86
8608,Railway or tramway track fixtures and fittings,86
8609,Containers,86
8701,Tractors,87
8702,Vehicles,87
8703,Vehicles,87
8704,Vehicles,87
8705,Vehicles,87
8706,Chassis,87
8707,Vehicles,87
8708,Vehicles,87
8709,Vehicles,87
8710,Tanks and other armoured fighting vehicles,87
8711,Motorcycles (including mopeds) and cycles,87
8712,Bicycles and other cycles,87
8713,Carriages for disabled persons,87
8714,Motorcycles (including mopeds),87
8715,Baby carriages and parts thereof,87
8716,Trailers and semi-trailers,87
8802,"Helicopters, except unmanned",88
8805,"Aircraft launching gear, deck-arrestor or similar gear and parts thereof",88
8806,Unmanned aircraft,88
